-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::mul         0.85%       1.383ms         1.41%       2.278ms       6.158us     546.529us         0.81%     546.529us       1.477us           0 b           0 b      73.71 Mb      73.71 Mb           370                                                           [[1, 51, 1024], [1024]]  19322880.000  
                                              aten::add         0.05%      77.574us         0.08%     123.578us       6.865us      79.839us         0.12%      79.839us       4.435us           0 b           0 b      72.00 Mb      72.00 Mb            18                                          [[1, 8, 816, 256], [1, 8, 816, 256], []]  30081024.000  
                                              aten::bmm         0.09%     146.393us         0.12%     197.605us      10.978us     473.472us         0.70%     473.472us      26.304us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                    [[8, 816, 816], [8, 816, 256]]  49092231168.000  
                                               aten::mm         0.10%     158.350us         0.16%     267.005us      14.834us       6.325ms         9.35%       6.325ms     351.362us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                     [[816, 16384], [16384, 2048]]  985694994432.000  
                                              aten::mul         1.03%       1.676ms         1.59%       2.581ms       7.171us     657.097us         0.97%     657.097us       1.825us           0 b           0 b      71.72 Mb      71.72 Mb           360                                                [[1, 8, 51, 256], [1, 1, 51, 256]]  37601280.000  
                                             aten::gelu         0.55%     888.520us         0.86%       1.390ms       7.723us     271.456us         0.40%     271.456us       1.508us           0 b           0 b      71.72 Mb      71.72 Mb           180                                                               [[1, 51, 4096], []]            --  
                                              aten::mul         0.44%     710.502us         0.72%       1.170ms       6.498us     216.782us         0.32%     216.782us       1.204us           0 b           0 b      71.72 Mb      71.72 Mb           180                                                    [[1, 51, 4096], [1, 51, 4096]]  37601280.000  
                                               aten::mm         1.10%       1.779ms         1.64%       2.661ms      14.785us       1.621ms         2.40%       1.621ms       9.005us           0 b           0 b      35.86 Mb      35.86 Mb           180                                                        [[51, 1024], [1024, 2048]]  38503710720.000  
                                              aten::add         0.48%     777.808us         0.77%       1.243ms       6.905us     341.508us         0.50%     341.508us       1.897us           0 b           0 b      35.86 Mb      35.86 Mb           180                                            [[1, 8, 51, 256], [1, 8, 51, 256], []]  18800640.000  
                                              aten::bmm         1.01%       1.637ms         1.35%       2.183ms      12.128us       2.629ms         3.89%       2.629ms      14.604us           0 b           0 b      35.86 Mb      35.86 Mb           180                                                     [[8, 51, 867], [8, 867, 256]]  32600309760.000  
                                              aten::add         0.84%       1.365ms         1.40%       2.260ms       6.277us     363.678us         0.54%     363.678us       1.010us           0 b           0 b      35.86 Mb      35.86 Mb           360                                                [[1, 51, 1024], [1, 51, 1024], []]  18800640.000  
                                              aten::neg         0.06%      95.922us         0.09%     147.822us       8.212us      48.965us         0.07%      48.965us       2.720us           0 b           0 b      31.50 Mb      31.50 Mb            18                                                                [[1, 8, 816, 128]]            --  
                                              aten::neg         0.54%     881.382us         0.84%       1.366ms       7.590us     321.928us         0.48%     321.928us       1.788us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                                 [[1, 8, 51, 128]]            --  
                                               aten::mm         1.32%       2.131ms         1.94%       3.139ms      17.438us       1.587ms         2.35%       1.587ms       8.819us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                        [[51, 2048], [2048, 1024]]  38503710720.000  
                                               aten::mm         0.86%       1.398ms         1.42%       2.306ms      12.810us       2.386ms         3.53%       2.386ms      13.255us           0 b           0 b      17.93 Mb      17.93 Mb           180                                                        [[51, 4096], [4096, 1024]]  77007421440.000  
                                               aten::mm         0.17%     278.797us         0.30%     492.222us      13.673us     389.478us         0.58%     389.478us      10.819us           0 b           0 b      14.34 Mb      14.34 Mb            36                                                        [[816, 2048], [2048, 256]]  30802968576.000  
                                              aten::mul         0.08%     123.947us         0.13%     207.014us       5.750us      43.104us         0.06%      43.104us       1.197us           0 b           0 b      14.34 Mb      14.34 Mb            36                                              [[1, 1, 816, 256], [1, 1, 816, 256]]   7520256.000  
                                          aten::resize_         0.04%      63.509us         0.04%      63.509us       2.443us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       9.68 Mb       9.68 Mb            26                                                                     [[0], [], []]            --  
                                               aten::mm         1.75%       2.840ms         2.81%       4.548ms      12.634us       1.414ms         2.09%       1.414ms       3.928us           0 b           0 b       8.96 Mb       8.96 Mb           360                                                         [[51, 1024], [1024, 256]]  9625927680.000  
                                              aten::mul         0.75%       1.217ms         1.27%       2.049ms       5.691us     375.487us         0.55%     375.487us       1.043us           0 b           0 b       8.96 Mb       8.96 Mb           360                                                [[1, 1, 51, 256], [1, 1, 51, 256]]   4700160.000  
                                              aten::add         0.04%      60.656us         0.06%     102.838us       5.713us      21.664us         0.03%      21.664us       1.204us           0 b           0 b       7.17 Mb       7.17 Mb            18                                          [[1, 1, 816, 256], [1, 1, 816, 256], []]   3760128.000  
                                aten::cudnn_convolution         0.08%     136.882us         0.11%     182.126us      60.709us     119.456us         0.18%     119.456us      39.819us           0 b           0 b       4.50 Mb       4.50 Mb             3                 [[1, 3, 224, 224], [1152, 3, 14, 14], [], [], [], [], [], [], []]            --  
                                              aten::add         0.37%     597.422us         0.63%       1.017ms       5.649us     191.330us         0.28%     191.330us       1.063us           0 b           0 b       4.48 Mb       4.48 Mb           180                                            [[1, 1, 51, 256], [1, 1, 51, 256], []]   2350080.000  
                                              aten::neg         0.04%      71.479us         0.07%     115.482us       6.416us      30.751us         0.05%      30.751us       1.708us           0 b           0 b       3.59 Mb       3.59 Mb            18                                                                [[1, 1, 816, 128]]            --  
                                           Buffer Flush         0.10%     164.778us         0.10%     164.778us      82.389us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.96 Mb       2.96 Mb             2                                                                                []            --  
                                              aten::neg         0.41%     663.276us         0.68%       1.100ms       6.113us     299.619us         0.44%     299.619us       1.665us           0 b           0 b       2.29 Mb       2.29 Mb           180                                                                 [[1, 1, 51, 128]]            --  
                                             aten::silu         0.04%      62.719us         0.06%      97.772us       9.777us      11.999us         0.02%      11.999us       1.200us           0 b           0 b       1.95 Mb       1.95 Mb            10                                                                   [[1, 50, 1024]]            --  
                                              aten::mul         0.02%      25.314us         0.02%      40.345us      13.448us       3.424us         0.01%       3.424us       1.141us           0 b           0 b       1.72 Mb       1.72 Mb             3                                                            [[1, 224, 224, 3], []]    451584.000  
                                              aten::sub         0.01%      13.498us         0.01%      21.414us       7.138us       3.328us         0.00%       3.328us       1.109us           0 b           0 b       1.72 Mb       1.72 Mb             3                                                        [[1, 224, 224, 3], [], []]            --  
                                              aten::mul         0.01%      10.091us         0.01%      15.574us       7.787us       2.400us         0.00%       2.400us       1.200us           0 b           0 b       1.59 Mb       1.59 Mb             2                                                               [[1, 816, 256], []]    417792.000  
                                              aten::add         0.82%       1.332ms         1.35%       2.179ms       5.889us     405.322us         0.60%     405.322us       1.095us           0 b           0 b       1.45 Mb       1.45 Mb           370                                                                  [[1024], [], []]    378880.000  
                                              aten::mul         0.06%      90.419us         0.09%     139.278us       6.964us      20.225us         0.03%      20.225us       1.011us           0 b           0 b    1020.00 Kb    1020.00 Kb            20                                                                [[1, 51, 256], []]    261120.000  
                                              aten::cos         0.00%       7.279us         0.01%      11.162us      11.162us       1.856us         0.00%       1.856us       1.856us           0 b           0 b     816.00 Kb     816.00 Kb             1                                                                   [[1, 816, 256]]            --  
                                              aten::sin         0.00%       7.088us         0.01%      10.834us      10.834us       1.856us         0.00%       1.856us       1.856us           0 b           0 b     816.00 Kb     816.00 Kb             1                                                                   [[1, 816, 256]]            --  
                                               aten::le         0.01%      10.723us         0.01%      14.727us      14.727us       2.688us         0.00%       2.688us       2.688us           0 b           0 b     650.50 Kb     650.50 Kb             1                                                        [[1, 1, 816], [1, 816, 1]]            --  
                                              aten::mul         0.00%       6.135us         0.01%       9.660us       9.660us       2.304us         0.00%       2.304us       2.304us           0 b           0 b     650.50 Kb     650.50 Kb             1                                                        [[1, 1, 816], [1, 816, 1]]       816.000  
                                      aten::bitwise_and         0.01%       9.761us         0.01%      13.470us      13.470us       1.504us         0.00%       1.504us       1.504us           0 b           0 b     650.50 Kb     650.50 Kb             1                                                    [[1, 816, 816], [1, 816, 816]]            --  
                                              aten::cos         0.04%      58.570us         0.05%      88.379us       8.838us      17.984us         0.03%      17.984us       1.798us           0 b           0 b     510.00 Kb     510.00 Kb            10                                                                    [[1, 51, 256]]            --  
                                              aten::sin         0.03%      42.757us         0.04%      71.919us       7.192us      17.761us         0.03%      17.761us       1.776us           0 b           0 b     510.00 Kb     510.00 Kb            10                                                                    [[1, 51, 256]]            --  
                                              aten::bmm         0.02%      29.187us         0.02%      33.564us      33.564us       1.216us         0.00%       1.216us       1.216us           0 b           0 b     408.00 Kb     408.00 Kb             1                                                        [[1, 128, 1], [1, 1, 816]]    208896.000  
