-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::mul         0.08%     134.971us         0.14%     225.883us       6.105us     174.471us         0.26%     174.471us       4.715us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                          [[1, 816, 2048], [2048]]  61833216.000  
                                              aten::mul         0.10%     161.005us         0.16%     262.318us       7.287us     168.863us         0.25%     168.863us       4.691us           0 b           0 b     144.00 Mb     144.00 Mb            36                                              [[1, 8, 816, 256], [1, 1, 816, 256]]  60162048.000  
                                              aten::add         0.08%     135.830us         0.14%     222.211us       6.173us     189.536us         0.28%     189.536us       5.265us           0 b           0 b     144.00 Mb     144.00 Mb            36                                              [[1, 816, 2048], [1, 816, 2048], []]  60162048.000  
                                              aten::add         0.43%     699.979us         0.68%       1.107ms       6.711us     593.859us         0.88%     593.859us       3.599us           0 b           0 b      94.50 Mb      94.50 Mb           165                                              [[1, 256, 1152], [1, 256, 1152], []]  48660480.000  
                                              aten::mul         1.02%       1.659ms         1.59%       2.597ms       7.214us     653.451us         0.97%     653.451us       1.815us           0 b           0 b      71.72 Mb      71.72 Mb           360                                                [[1, 8, 51, 256], [1, 1, 51, 256]]  37601280.000  
                                              aten::mul         0.45%     734.250us         0.74%       1.202ms       6.676us     215.907us         0.32%     215.907us       1.199us           0 b           0 b      71.72 Mb      71.72 Mb           180                                                    [[1, 51, 4096], [1, 51, 4096]]  37601280.000  
                                              aten::add         0.05%      75.386us         0.07%     121.970us       6.776us      79.808us         0.12%      79.808us       4.434us           0 b           0 b      72.00 Mb      72.00 Mb            18                                          [[1, 8, 816, 256], [1, 8, 816, 256], []]  30081024.000  
                                              aten::mul         0.96%       1.564ms         1.54%       2.508ms       6.779us       1.149ms         1.70%       1.149ms       3.106us           0 b           0 b      73.71 Mb      73.71 Mb           370                                                       [[1, 51, 1024], [1, 51, 1]]  19322880.000  
                                              aten::mul         0.88%       1.428ms         1.44%       2.346ms       6.340us     546.220us         0.81%     546.220us       1.476us           0 b           0 b      73.71 Mb      73.71 Mb           370                                                           [[1, 51, 1024], [1024]]  19322880.000  
                                              aten::add         0.48%     782.196us         0.77%       1.263ms       7.017us     340.964us         0.50%     340.964us       1.894us           0 b           0 b      35.86 Mb      35.86 Mb           180                                            [[1, 8, 51, 256], [1, 8, 51, 256], []]  18800640.000  
