-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::mul         0.97%       1.564ms         1.54%       2.489ms       6.728us       1.162ms         1.72%       1.162ms       3.141us           0 b           0 b      73.71 Mb      73.71 Mb           370                                                       [[1, 51, 1024], [1, 51, 1]]  19322880.000  
                                             aten::mean         1.35%       2.184ms         1.93%       3.124ms       8.442us       1.145ms         1.69%       1.145ms       3.094us           0 b           0 b     185.00 Kb     185.00 Kb           370                                                       [[1, 51, 1024], [], [], []]            --  
                                            aten::copy_         1.12%       1.809ms         2.36%       3.821ms       5.095us       1.125ms         1.66%       1.125ms       1.499us           0 b           0 b           0 b           0 b           750                                                [[1, 51, 1024], [1, 51, 1024], []]            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.075ms         1.59%       1.075ms       2.715us           0 b           0 b           0 b           0 b           396                                                                                []            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.017ms         1.50%       1.017ms       2.264us           0 b           0 b           0 b           0 b           449                                                                                []            --  
                                              aten::mul         0.04%      70.755us         0.07%     114.962us       6.387us       1.016ms         1.50%       1.016ms      56.466us           0 b           0 b     468.00 Mb     468.00 Mb            18                                                [[1, 816, 16384], [1, 816, 16384]]  240648192.000  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.007ms         1.49%       1.007ms       5.086us           0 b           0 b           0 b           0 b           198                                                                                []            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.005ms         1.48%       1.005ms       2.791us           0 b           0 b           0 b           0 b           360                                                                                []            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     976.110us         1.44%     976.110us       2.711us           0 b           0 b           0 b           0 b           360                                                                                []            --  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us     914.476us         1.35%     914.476us       4.619us           0 b           0 b           0 b           0 b           198                                                                                []            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     910.221us         1.35%     910.221us       1.422us           0 b           0 b           0 b           0 b           640                                                                                []            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     850.999us         1.26%     850.999us       1.039us           0 b           0 b           0 b           0 b           819                                                                                []            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     844.812us         1.25%     844.812us       2.347us           0 b           0 b           0 b           0 b           360                                                                                []            --  
