-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      26.262ms        38.81%      26.262ms      25.374us           0 b           0 b           0 b           0 b          1035                                                                                []            --  
                                           aten::linear         0.03%      42.358us         0.42%     692.288us      19.230us       0.000us         0.00%      13.239ms     367.747us           0 b           0 b     936.00 Mb           0 b            36                                               [[1, 816, 2048], [16384, 2048], []]            --  
                                           aten::matmul         0.08%     127.517us         0.34%     559.055us      15.529us       0.000us         0.00%      13.239ms     367.747us           0 b           0 b     936.00 Mb           0 b            36                                                   [[1, 816, 2048], [2048, 16384]]            --  
                                               aten::mm         0.17%     283.491us         0.23%     376.994us      10.472us      13.239ms        19.57%      13.239ms     367.747us           0 b           0 b     936.00 Mb     936.00 Mb            36                                                      [[816, 2048], [2048, 16384]]  1971389988864.000  
                                           aten::linear         0.02%      35.251us         0.26%     421.403us      23.411us       0.000us         0.00%       6.325ms     351.377us           0 b           0 b      72.00 Mb           0 b            18                                              [[1, 816, 16384], [2048, 16384], []]            --  
                                           aten::matmul         0.03%      51.168us         0.21%     344.354us      19.131us       0.000us         0.00%       6.325ms     351.377us           0 b           0 b      72.00 Mb           0 b            18                                                  [[1, 816, 16384], [16384, 2048]]            --  
                                               aten::mm         0.10%     158.761us         0.16%     268.788us      14.933us       6.325ms         9.35%       6.325ms     351.377us           0 b           0 b      72.00 Mb      72.00 Mb            18                                                     [[816, 16384], [16384, 2048]]  985694994432.000  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       6.311ms         9.33%       6.311ms     350.623us           0 b           0 b           0 b           0 b            18                                                                                []            --  
                                           aten::linear         0.29%     473.027us         5.09%       8.304ms      23.067us       0.000us         0.00%       4.942ms      13.729us           0 b           0 b     143.44 Mb           0 b           360                                                 [[1, 51, 1024], [4096, 1024], []]            --  
                                           aten::matmul         0.75%       1.225ms         4.22%       6.884ms      19.124us       0.000us         0.00%       4.942ms      13.729us           0 b           0 b     143.44 Mb           0 b           360                                                     [[1, 51, 1024], [1024, 4096]]            --  
                                               aten::mm         2.01%       3.285ms         3.12%       5.098ms      14.161us       4.942ms         7.30%       4.942ms      13.729us           0 b           0 b     143.44 Mb     143.44 Mb           360                                                        [[51, 1024], [1024, 4096]]  154014842880.000  
                                           aten::linear         0.69%       1.130ms         4.10%       6.684ms      20.629us       0.000us         0.00%       3.081ms       9.510us           0 b           0 b     182.25 Mb           0 b           324                                            [[1, 256, 1152], [1152, 1152], [1152]]            --  
                                            aten::addmm         1.80%       2.943ms         2.68%       4.373ms      13.497us       3.081ms         4.55%       3.081ms       9.510us           0 b           0 b     182.25 Mb    -141.75 Mb           324                                       [[1152], [256, 1152], [1152, 1152], [], []]  220150628352.000  
                                           aten::matmul         0.58%     938.634us         2.99%       4.880ms      27.109us       0.000us         0.00%       2.619ms      14.548us           0 b           0 b      35.86 Mb    -204.00 Kb           180                                               [[1, 8, 51, 867], [1, 8, 867, 256]]            --  
                                              aten::bmm         1.03%       1.679ms         1.50%       2.442ms      13.565us       2.619ms         3.87%       2.619ms      14.548us           0 b           0 b      35.86 Mb      35.86 Mb           180                                                     [[8, 51, 867], [8, 867, 256]]  32600309760.000  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us       2.619ms         3.87%       2.619ms      14.548us           0 b           0 b           0 b           0 b           180                                                                                []            --  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       2.460ms         3.64%       2.460ms      11.389us           0 b           0 b           0 b           0 b           216                                                                                []            --  
                                           aten::linear         0.12%     200.856us         2.30%       3.752ms      20.847us       0.000us         0.00%       2.376ms      13.202us           0 b           0 b      17.93 Mb           0 b           180                                                 [[1, 51, 4096], [1024, 4096], []]            --  
